Sector,Province,Temperature,Dew,Moisture,Wind,Cloud,Visibility,Barometric,Rain
ภาคเหนือ,กำแพงเพชร,33.4,21.1,49,ทิศตะวันตก,ท้องฟ้าแจ่มใส,8.0,1009.4,0.0
ภาคเหนือ,เชียงราย,26.1,16.2,54,ทิศใต้ค่อนไปทางตะวันออก,ท้องฟ้าแจ่มใส,3.0,1009.9,0.0
ภาคเหนือ,เชียงใหม่,29.8,17.9,49,ทิศตะวันออก,ท้องฟ้าโปร่ง,6.0,1009.9,0.0
ภาคเหนือ,ตาก,32.4,21.8,54,ทิศตะวันตกเฉียงเหนือ,ท้องฟ้าโปร่ง,8.0,1010.8,0.0
ภาคเหนือ,น่าน,31.0,18.7,48,ลมสงบ,ท้องฟ้าแจ่มใส,10.0,1009.2,0.0
ภาคเหนือ,พะเยา,31.0,16.7,42,ลมสงบ,ท้องฟ้าแจ่มใส,8.0,1008.8,0.0
ภาคเหนือ,พิจิตร,32.4,22.3,55,ทิศตะวันตกค่อนไปทางใต้,มีเมฆเป็นส่วนมาก,7.0,1008.1,0.0
ภาคเหนือ,พิษณุโลก,33.0,21.5,51,ทิศเหนือค่อนไปทางตะวันตก,ท้องฟ้าโปร่ง,8.0,1010.1,0.0
ภาคเหนือ,เพชรบูรณ์,33.4,22.1,52,ทิศใต้,ท้องฟ้าแจ่มใส,7.0,1007.9,0.0
ภาคเหนือ,แพร่,32.6,17.7,41,ทิศตะวันตก,มีเมฆเป็นส่วนมาก,5.0,1009.4,0.0
ภาคเหนือ,แม่ฮ่องสอน,21.2,16.2,73,ลมสงบ,ท้องฟ้าโปร่ง,1.5,1009.5,0.0
ภาคเหนือ,ลำปาง,32.4,19.7,47,ลมสงบ,ท้องฟ้าแจ่มใส,10.0,1010.2,0.0
ภาคเหนือ,ลำพูน,30.7,19.9,53,ทิศตะวันตก,ท้องฟ้าโปร่ง,7.0,1009.7,0.0
ภาคเหนือ,สุโขทัย,27.2,20.2,66,ทิศตะวันตก,ท้องฟ้าโปร่ง,6.0,1007.2,0.0
ภาคเหนือ,อุตรดิตถ์,33.2,22.1,52,ลมสงบ,ท้องฟ้าแจ่มใส,5.0,1009.5,0.0
ภาคตะวันออก,จันทบุรี,25.2,24.2,94,ลมสงบ,ท้องฟ้าโปร่ง,8.0,1009.2,0.0
ภาคตะวันออก,ฉะเชิงเทรา,31.4,24.4,67,ทิศใต้,ท้องฟ้าโปร่ง,10.0,1011.4,0.0
ภาคตะวันออก,ชลบุรี,28.0,25.1,85,ลมสงบ,มีเมฆบางส่วน,10.0,1008.5,0.0
ภาคตะวันออก,ตราด,25.8,23.8,89,ลมสงบ,ท้องฟ้าโปร่ง,6.0,1009.4,0.0
ภาคตะวันออก,นครนายก,27.0,20.6,68,ทิศใต้ค่อนไปทางตะวันตก,มีเมฆเป็นส่วนมาก,7.0,1006.5,0.0
ภาคตะวันออก,ปราจีนบุรี,31.0,26.1,75,ลมสงบ,มีเมฆเป็นส่วนมาก,8.0,1010.3,0.0
